title,company,location,experience,salary,posted,skills,description,url,relevance,match_reason,status,scanned_at
Sdet Engineer,Devstringx,Noida,3-7 Yrs,7-12 Lacs PA,Just now,"Java, Test Automation, TestNG, CI/CD, Selenium, Jenkins, Git, API Testing","Sdet Engineer Java, Test Automation, TestNG, CI/CD, Selenium, Jenkins, Git, API Testing",https://www.naukri.com/job-listings-sdet-engineer-devstringx-noida-3-to-7-years-210426035262,59,"Core match: selenium, automation, java, api testing | Bonus: testng | Preferred company",failed,2026-04-21 16:56
SDET (Immediate Joiners),Healthedge,Hybrid - Bengaluru,3-5 Yrs,Not disclosed,5 days ago,"Java, Automation Testing, Selenium, SOAP UI, Typescript, API Testing, Testng, JMeter","SDET (Immediate Joiners) Java, Automation Testing, Selenium, SOAP UI, Typescript, API Testing, Testng, JMeter",https://www.naukri.com/job-listings-sdet-immediate-joiners-healthedge-bengaluru-3-to-5-years-160426026724,48,"Core match: selenium, automation, java, api testing | Bonus: testng, jmeter",pending,2026-04-21 16:56
SDET,Testing Mavens Software,"Bengaluru, Kolkata, Mumbai, Pune, Hyderabad, New Delhi, Chennai",4-9 Yrs,Not disclosed,3 weeks ago,"automation framework, Core Java, Automation testing, GIT, appium, Automation tools, Selenium, Troubleshooting","SDET automation framework, Core Java, Automation testing, GIT, appium, Automation tools, Selenium, Troubleshooting",https://www.naukri.com/job-listings-sdet-testing-mavens-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-9-years-240326508397,47,"Core match: selenium, automation, java, sdet | Preferred company",pending,2026-04-21 16:56
SDET (Playwright+ JavaScript /Typescript),Devstringx,Hybrid - Noida,3-5 Yrs,7-12 Lacs PA,1 day ago,"Javascript, Playwright Automation, Typescript, Automation Testing, Automation, SDET, Software testing","SDET (Playwright+ JavaScript /Typescript) Javascript, Playwright Automation, Typescript, Automation Testing, Automation, SDET, Software testing",https://www.naukri.com/job-listings-sdet-playwright-javascript-typescript-devstringx-technologies-pvt-ltd-noida-3-to-5-years-200426017900,47,"Core match: automation, java, playwright, sdet | Preferred company",pending,2026-04-21 16:56
SDET - Automation Testing - SQL,Coforge,Hybrid - Gurugram,6-9 Yrs,15-25 Lacs PA,1 day ago,"Java, Automation Testing, SQL Database, Selenium, Cucumber, Jenkins, Bdd, GIT","SDET - Automation Testing - SQL Java, Automation Testing, SQL Database, Selenium, Cucumber, Jenkins, Bdd, GIT",https://www.naukri.com/job-listings-sdet-automation-testing-sql-coforge-gurugram-6-to-9-years-200426010939,44,"Core match: selenium, automation, java, jenkins | Bonus: cucumber",pending,2026-04-21 16:56
SDET| Automation Testing | F2F Interview | Bangalore | Hyderabad!!,India's Largest IT Service Provider,"Bengaluru, Hyderabad",5-10 Yrs,15-25 Lacs PA (Including Variable: 10.0%),4 days ago,"Katalon, Java, SDET, Selenium, Cucumber, Bdd, Playwright, Play wright","SDET| Automation Testing | F2F Interview | Bangalore | Hyderabad!! Katalon, Java, SDET, Selenium, Cucumber, Bdd, Playwright, Play wright",https://www.naukri.com/job-listings-sdet-automation-testing-f2f-interview-bangalore-hyderabad-sp-staffing-hyderabad-bengaluru-5-to-10-years-030226008364,44,"Core match: selenium, automation, java, playwright | Bonus: cucumber",pending,2026-04-21 16:56
SDET Automation Test Engineer,Pi Square Technologies,Ahmedabad,4-9 Yrs,Not disclosed,6 days ago,"Jenkins, Selenium C#, Selenium Webdriver, Azure Devops, UI automation, Test execution, Github action, .net","SDET Automation Test Engineer Jenkins, Selenium C#, Selenium Webdriver, Azure Devops, UI automation, Test execution, Github action, .net",https://www.naukri.com/job-listings-sdet-automation-test-engineer-pi-square-technologies-ahmedabad-4-to-9-years-140426029995,44,"Core match: selenium, automation, jenkins, azure devops | Bonus: devops",pending,2026-04-21 16:56
SDET- Automation Test Engineer,MNC,Hyderabad,4-7 Yrs,8.5-18 Lacs PA,1 week ago,"Performance Testing, SDET, Playwright, Javascript, Automation Testing, Docker, Typescript, Ci/Cd","SDET- Automation Test Engineer Performance Testing, SDET, Playwright, Javascript, Automation Testing, Docker, Typescript, Ci/Cd",https://www.naukri.com/job-listings-sdet-automation-test-engineer-nexus-professionals-hyderabad-4-to-7-years-070426010678,44,"Core match: automation, java, playwright, ci/cd | Bonus: performance",pending,2026-04-21 16:56
QA Engineer,Hexaware Technologies,"Pune, Chennai",6-9 Yrs,Not disclosed,3 days ago,"Automation Testing, Selenium Java, Java Selenium, Cucumber Framework, Automation Selenium, API Testing, Cucumber, Bdd Cucumber","QA Engineer Automation Testing, Selenium Java, Java Selenium, Cucumber Framework, Automation Selenium, API Testing, Cucumber, Bdd Cucumber",https://www.naukri.com/job-listings-qa-engineer-hexaware-technologies-pune-chennai-6-to-9-years-170426031295,44,"Core match: selenium, automation, java, api testing | Bonus: cucumber",pending,2026-04-21 16:56
QA Lead - Manual & Automation,Accentus Consulting,Kolkata(Sector 5 Salt Lake),5-8 Yrs,7-9 Lacs PA,5 days ago,"API Testing, Automation Testing, Manual Testing, QA Automation, Playwright Automation, Regression Testing, Ci Cd Pipeline, Rest Assured","QA Lead - Manual & Automation API Testing, Automation Testing, Manual Testing, QA Automation, Playwright Automation, Regression Testing, Ci Cd Pipeline, Rest Assured",https://www.naukri.com/job-listings-qa-lead-manual-automation-accentus-consulting-kolkata-5-to-8-years-140426015430,43,"Core match: automation, playwright, api testing | Bonus: rest assured | Preferred company",pending,2026-04-21 16:56
